,GlobalEventID,Day,MonthYear,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_CountryCode,Actor1Geo_Fullname,goldstein * num_mentions,avgtone * num_mentions
14943,754368849,20180509.0,201805.0,3.5,10.0,1.0,10.0,-5.39730134932533,8.0034,124.28399999999999,RP,"Marawi, Marawi, Philippines",35.0,-53.9730134932533
14983,754376510,20180509.0,201805.0,2.8,2.0,1.0,2.0,2.16216216216216,7.073060000000001,125.613,RP,"Davao, Davao City, Philippines",5.6,4.32432432432432
15031,754380350,20180509.0,201805.0,0.4,2.0,1.0,2.0,-1.07692307692308,8.63333,123.4,RP,"Palawan, Dapitan, Philippines",0.8,-2.15384615384616
15035,754384082,20180509.0,201805.0,7.0,3.0,1.0,3.0,-2.66963292547275,16.45,120.55,RP,"Philippine, Benguet, Philippines",21.0,-8.008898776418249
15139,754400128,20180509.0,201805.0,6.0,1.0,1.0,1.0,0.7389162561576401,16.45,120.55,RP,"Philippine, Benguet, Philippines",6.0,0.7389162561576401
15224,754416018,20180509.0,201805.0,4.5,5.0,1.0,5.0,4.21940928270042,15.8334,120.37799999999999,RP,"Malaca, Pangasinan, Philippines",22.5,21.097046413502103
15244,754418827,20180509.0,201805.0,-2.0,3.0,1.0,3.0,-3.14465408805031,16.45,120.55,RP,"Philippine, Benguet, Philippines",-6.0,-9.433962264150932
15263,754420356,20180509.0,201805.0,4.5,1.0,1.0,1.0,2.35988200589971,16.45,120.55,RP,"Philippine, Benguet, Philippines",4.5,2.35988200589971
15557,754468993,20180509.0,201805.0,-7.0,10.0,1.0,10.0,-1.98412698412698,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",-70.0,-19.8412698412698
15617,754480119,20170509.0,201705.0,-2.0,6.0,1.0,6.0,-8.49056603773585,7.073060000000001,125.613,RP,"Davao City, Davao City, Philippines",-12.0,-50.9433962264151
15788,754501884,20180509.0,201805.0,2.8,2.0,1.0,2.0,-1.86567164179104,11.9653,121.926,RP,"Boracay, Aklan, Philippines",5.6,-3.73134328358208
15962,754528564,20180509.0,201805.0,-2.0,2.0,1.0,2.0,0.0,10.2048,122.98899999999999,RP,"Isabela, Negros Occidental, Philippines",-4.0,0.0
16185,754557780,20180509.0,201805.0,1.9,2.0,1.0,2.0,2.94438386041439,16.45,120.55,RP,"Philippine, Benguet, Philippines",3.8,5.88876772082878
